,Unnamed: 0,person_id,gt_poi,start,end,x_centroid,y_centroid,gt_labeling,dur
0,378,12_1,*,2021-12-13 10:23:35.667,2021-12-13 10:24:32.974,8.846554379243827,4.798779361352373,1,57.307
1,0,12_1,CS1,2021-12-13 10:24:43.043,2021-12-13 10:26:01.952,3.736628592432711,2.3833802468518543,2,78.909
2,1,12_1,CS2,2021-12-13 10:26:04.023,2021-12-13 10:26:37.943,5.107155655078338,2.0556909157641288,3,33.92
3,2,12_1,CS3,2021-12-13 10:26:39.014,2021-12-13 10:27:05.936,6.04280942524516,2.817772602835522,4,26.922
4,3,12_1,CN2,2021-12-13 10:27:09.007,2021-12-13 10:28:21.989,4.838879158914006,4.551172910240435,5,72.982
5,4,12_1,BS2,2021-12-13 10:28:25.095,2021-12-13 10:28:57.980,4.157737443299378,6.62762541760624,6,32.885
6,5,12_1,BS1,2021-12-13 10:29:00.086,2021-12-13 10:29:42.968,2.615126331402776,6.438265381745957,7,42.882
7,6,12_1,BN1,2021-12-13 10:29:47.074,2021-12-13 10:30:39.954,2.978800201311267,8.41526273698846,8,52.88
8,7,12_1,BN3,2021-12-13 10:30:46.060,2021-12-13 10:31:54.935,5.6666329731126375,8.564658517244553,9,68.875
9,8,12_1,AN3,2021-12-13 10:31:59.041,2021-12-13 10:32:32.926,5.8670705050705445,11.873338152098524,10,33.885
10,9,12_1,AN2,2021-12-13 10:32:41.031,2021-12-13 10:33:18.914,3.564740102246692,12.163565670474656,11,37.883
11,10,12_1,FN3,2021-12-13 10:33:44.015,2021-12-13 10:33:57.905,21.86236723645123,4.452740435821478,12,13.89
12,11,12_1,FN2,2021-12-13 10:34:01.011,2021-12-13 10:35:18.991,19.291439648594665,4.480208414417202,13,77.98
13,12,12_1,FS2,2021-12-13 10:35:26.061,2021-12-13 10:35:49.984,18.696975335131096,2.608083572537856,14,23.923
14,13,12_1,FS1,2021-12-13 10:35:50.055,2021-12-13 10:36:12.978,18.37278508163258,2.72061435297682,15,22.923
15,14,12_1,FS2,2021-12-13 10:36:16.049,2021-12-13 10:36:44.970,19.21748372460637,2.349000159538588,16,28.921
17,16,12_1,ES2,2021-12-13 10:37:02.037,2021-12-13 10:37:22.960,18.94803689148037,6.534456116132163,18,20.923
18,17,12_1,ES3,2021-12-13 10:37:27.031,2021-12-13 10:38:31.943,20.709863620602466,6.607460506486178,19,64.912
20,19,12_1,EN3,2021-12-13 10:38:51.010,2021-12-13 10:39:04.935,21.30712322683912,8.905901470017994,21,13.925
24,205,12_2,EN2,2021-12-13 11:19:44.025,2021-12-13 11:19:54.094,19.84033357059453,8.425811918114045,4,10.069
25,206,12_2,DS4,2021-12-13 11:19:58.022,2021-12-13 11:20:54.900,21.066895950971876,10.835284870393142,5,56.878
26,207,12_2,DS3,2021-12-13 11:20:56.007,2021-12-13 11:21:25.000,19.81736425973437,9.651544246344024,6,28.993
27,208,12_2,DS2,2021-12-13 11:21:27.071,2021-12-13 11:21:43.995,18.684524469404195,9.716456368563572,7,16.924
28,209,12_2,DS1,2021-12-13 11:21:46.066,2021-12-13 11:22:17.987,18.433110855473878,10.599128925062454,8,31.921
30,211,12_2,DN2,2021-12-13 11:22:33.054,2021-12-13 11:24:13.101,20.67075557739664,12.1966832055979,10,100.047
31,212,12_2,AN3,2021-12-13 11:24:28.025,2021-12-13 11:24:48.949,4.55417710004817,11.277781931247215,11,20.924
32,213,12_2,AN2,2021-12-13 11:24:52.019,2021-12-13 11:25:54.932,3.5691167528460763,11.893874228303323,12,62.913
33,214,12_2,AN1,2021-12-13 11:25:56.003,2021-12-13 11:27:05.986,2.3753475849851533,12.653316998518518,13,69.983
34,215,12_2,BN1,2021-12-13 11:27:12.056,2021-12-13 11:27:43.976,2.284104698171997,8.459834353686992,14,31.92
35,216,12_2,CN1,2021-12-13 11:27:51.046,2021-12-13 11:28:12.969,2.535315644391503,4.746385030714999,15,21.923
36,217,12_2,CN2,2021-12-13 11:28:16.040,2021-12-13 11:29:35.948,5.012653564498039,4.47340693787913,16,79.908
37,218,12_2,BS2,2021-12-13 11:29:40.019,2021-12-13 11:29:57.943,4.75280904748326,6.652144540581008,17,17.924
39,220,12_2,BS2,2021-12-13 11:30:11.011,2021-12-13 11:31:15.995,5.042952107593756,6.502430205291823,19,64.984
40,400,12_2,*,2021-12-13 11:31:23.100,2021-12-13 11:31:33.169,11.393888825886478,5.287935459979973,20,10.069
41,401,12_2,*,2021-12-13 11:31:37.097,2021-12-13 11:32:00.984,10.417738913043127,7.923757223034663,21,23.887
42,221,12_2,AS2,2021-12-13 11:32:07.089,2021-12-13 11:33:05.967,4.875510438010035,10.229250717096464,22,58.878
43,222,12_2,AS1,2021-12-13 11:33:08.074,2021-12-13 11:33:58.954,2.6788572830892683,10.336596267192938,23,50.88
45,224,12_2,DN1,2021-12-13 11:34:19.056,2021-12-13 11:34:29.946,18.138237140178003,11.691398388878714,25,10.89
46,379,28_1,*,2021-12-13 10:23:35.675,2021-12-13 10:24:30.982,16.04667150256633,5.6856273239220885,1,55.307
47,20,28_1,FS2,2021-12-13 10:24:38.052,2021-12-13 10:24:59.975,19.1871065087156,2.663676937649588,2,21.923
49,22,28_1,ES3,2021-12-13 10:25:23.040,2021-12-13 10:26:05.958,20.23468569336845,6.409873081151948,4,42.918
50,23,28_1,FN2,2021-12-13 10:26:12.028,2021-12-13 10:26:22.954,20.41944544250308,3.641856147719707,5,10.926
51,24,28_1,FN3,2021-12-13 10:26:24.025,2021-12-13 10:28:12.998,21.014466386027586,4.039235088900846,6,108.973
52,25,28_1,EN2,2021-12-13 10:28:26.102,2021-12-13 10:28:36.992,19.46909623851603,8.02623238382892,7,10.89
53,26,28_1,EN3,2021-12-13 10:28:40.098,2021-12-13 10:29:41.976,20.47861273469179,8.206777058068033,8,61.878
54,27,28_1,EN4,2021-12-13 10:29:47.082,2021-12-13 10:29:57.972,21.679284732742467,8.275907392543898,9,10.89
55,28,28_1,DS3,2021-12-13 10:30:04.077,2021-12-13 10:30:32.963,19.33937511110482,9.575225702770986,10,28.886
56,29,28_1,DN2,2021-12-13 10:30:44.067,2021-12-13 10:31:22.950,20.60853195740675,12.099221719853794,11,38.883
59,31,28_1,CN2,2021-12-13 10:32:00.048,2021-12-13 10:33:06.924,4.265300723936593,5.246201122025889,14,66.876
60,32,28_1,CN1,2021-12-13 10:33:11.031,2021-12-13 10:33:22.920,2.482882042782596,4.415035175499891,15,11.889
61,33,28_1,CS1,2021-12-13 10:33:32.025,2021-12-13 10:34:34.902,3.709599909359461,2.6210207729785804,16,62.877
62,381,28_1,*,2021-12-13 10:34:45.007,2021-12-13 10:35:31.995,10.57108668148419,4.076444092610406,17,46.988
65,35,28_1,FS3,2021-12-13 10:35:59.060,2021-12-13 10:37:23.967,20.40352813940054,2.7049228191166703,20,84.907
67,37,28_1,FN2,2021-12-13 10:37:44.034,2021-12-13 10:38:03.957,19.000846967591325,5.211297729494741,22,19.923
68,38,28_1,AN2,2021-12-13 10:39:00.015,2021-12-13 10:39:23.937,3.765695574881208,12.19548964679272,23,23.922
69,402,28_2,*,2021-12-13 11:19:15.039,2021-12-13 11:19:28.929,10.667289921666825,9.25889837094322,1,13.89
73,228,28_2,DS1,2021-12-13 11:21:03.012,2021-12-13 11:21:17.902,19.04064489765176,8.840371871511438,5,14.89
74,229,28_2,DN3,2021-12-13 11:21:30.006,2021-12-13 11:21:54.999,20.327479358665236,12.044770002846024,6,24.993
75,230,28_2,AN2,2021-12-13 11:22:19.065,2021-12-13 11:23:01.983,4.168908680686303,12.47795235223605,7,42.918
76,231,28_2,BN2,2021-12-13 11:23:10.052,2021-12-13 11:27:02.994,4.13901030271679,7.981582414498234,8,232.942
78,404,28_2,*,2021-12-13 11:27:40.056,2021-12-13 11:27:50.161,18.498120945047237,0.6820281183827586,10,10.105
80,233,28_2,FS2,2021-12-13 11:28:04.050,2021-12-13 11:28:20.974,19.417659185603924,2.365134208387152,12,16.924
81,234,28_2,FS1,2021-12-13 11:28:25.045,2021-12-13 11:28:47.968,18.44171054015096,2.649178550645603,13,22.923
82,235,28_2,FS2,2021-12-13 11:28:49.039,2021-12-13 11:29:28.957,19.163551076179008,2.707133340370666,14,39.918
85,238,28_2,DS2,2021-12-13 11:29:58.021,2021-12-13 11:31:26.999,19.94458993399004,9.885890300464927,17,88.978
86,405,28_2,*,2021-12-13 11:31:59.099,2021-12-13 11:34:39.951,10.431398896239449,4.081170861685516,18,160.852
87,383,38_1,*,2021-12-13 10:23:35.682,2021-12-13 10:24:29.989,15.17024752816697,11.383096605551282,1,54.307
88,39,38_1,CN2,2021-12-13 10:24:44.057,2021-12-13 10:26:14.963,4.354073119573397,4.41177314235973,2,90.906
89,40,38_1,CN1,2021-12-13 10:26:17.034,2021-12-13 10:28:11.934,3.240344734575671,4.545561812618091,3,114.9
90,41,38_1,CS3,2021-12-13 10:28:22.003,2021-12-13 10:29:26.987,5.817989452972111,2.6839021278792154,4,64.984
91,42,38_1,CS1,2021-12-13 10:29:34.092,2021-12-13 10:31:13.960,3.4893629578674186,2.6889119006533155,5,99.868
92,43,38_1,BS2,2021-12-13 10:31:26.064,2021-12-13 10:31:39.953,5.188329292277488,5.773193657736279,6,13.889
93,44,38_1,BS1,2021-12-13 10:31:44.059,2021-12-13 10:34:00.918,3.0472775365500877,6.305675810966103,7,136.859
94,45,38_1,BN1,2021-12-13 10:34:06.024,2021-12-13 10:35:06.902,2.5288975382479446,8.502987424574682,8,60.878
95,46,38_1,BN2,2021-12-13 10:35:08.008,2021-12-13 10:35:55.996,2.853538669342237,8.43378418496167,9,47.988
96,47,38_1,AS1,2021-12-13 10:35:58.067,2021-12-13 10:36:56.981,3.2242866863596653,10.234556502886376,10,58.914
98,49,38_1,AN2,2021-12-13 10:37:17.048,2021-12-13 10:38:50.953,3.32914961645643,12.27556603982972,12,93.905
99,50,38_1,AN3,2021-12-13 10:38:53.024,2021-12-13 10:39:23.944,5.091421722541265,12.05486856699186,13,30.92
100,406,38_2,*,2021-12-13 11:19:13.297,2021-12-13 11:19:29.936,14.355490660653146,4.331533966690494,1,16.639
101,239,38_2,FS1,2021-12-13 11:19:36.041,2021-12-13 11:20:55.914,18.425771461054843,2.5173386217183,2,79.873
102,240,38_2,FS2,2021-12-13 11:20:58.021,2021-12-13 11:21:20.908,19.36448142084129,2.344173077363812,3,22.887
103,241,38_2,FS3,2021-12-13 11:21:23.015,2021-12-13 11:23:27.983,20.43942800479364,2.3751674508870155,4,124.968
104,242,38_2,FN3,2021-12-13 11:23:37.052,2021-12-13 11:25:36.951,21.053513545522566,4.543200051741717,5,119.899
105,243,38_2,FN2,2021-12-13 11:25:39.022,2021-12-13 11:27:53.988,19.15082077218298,4.487312818157802,6,134.966
107,244,38_2,ES3,2021-12-13 11:28:09.056,2021-12-13 11:28:25.980,20.280703196073,6.605245317033127,8,16.924
108,245,38_2,ES1,2021-12-13 11:28:30.051,2021-12-13 11:29:19.895,18.867883146080977,5.801256496158627,9,49.844
109,246,38_2,ES3,2021-12-13 11:29:25.144,2021-12-13 11:31:01.941,20.839609577905065,6.72673232003002,10,96.797
110,247,38_2,DN3,2021-12-13 11:31:13.010,2021-12-13 11:31:53.000,20.794975628592177,11.852257378902928,11,39.99
111,248,38_2,DN2,2021-12-13 11:31:54.000,2021-12-13 11:32:12.995,19.773072867508905,11.75731389649777,12,18.995
112,249,38_2,DN1,2021-12-13 11:32:14.102,2021-12-13 11:33:18.978,18.463877241718464,12.07147780800062,13,64.876
113,250,38_2,DS1,2021-12-13 11:33:26.084,2021-12-13 11:33:37.974,18.774225026431704,9.994782435579763,14,11.89
114,251,38_2,DS2,2021-12-13 11:33:41.080,2021-12-13 11:34:05.967,19.6766364739814,9.85841530328361,15,24.887
115,252,38_2,DS3,2021-12-13 11:34:08.073,2021-12-13 11:34:39.958,20.6806885245144,10.599357510353617,16,31.885
117,385,39_1,*,2021-12-13 10:23:45.008,2021-12-13 10:24:29.997,15.443246176368296,10.351833043677448,2,44.989
118,51,39_1,DN1,2021-12-13 10:24:36.066,2021-12-13 10:25:01.989,18.91044609920726,11.92631932599064,3,25.923
119,52,39_1,DN2,2021-12-13 10:25:06.059,2021-12-13 10:25:48.977,20.300491957515916,12.436937451461336,4,42.918
120,53,39_1,DN3,2021-12-13 10:25:53.047,2021-12-13 10:26:07.972,21.7512745935976,12.380989529723658,5,14.925
121,54,39_1,DS4,2021-12-13 10:26:17.041,2021-12-13 10:26:37.965,20.97922235247557,9.4895423871056,6,20.924
122,55,39_1,DS3,2021-12-13 10:26:41.035,2021-12-13 10:27:04.958,19.678597479556323,9.571536972278436,7,23.923
124,57,39_1,EN3,2021-12-13 10:27:24.024,2021-12-13 10:28:28.937,20.487937726537485,8.723208910904791,9,64.913
126,59,39_1,ES3,2021-12-13 10:28:45.004,2021-12-13 10:29:18.996,20.47735401967286,6.098253593492464,11,33.992
127,60,39_1,ES1,2021-12-13 10:29:27.101,2021-12-13 10:30:03.984,18.453124802015264,6.086789403443767,12,36.883
128,61,39_1,FN3,2021-12-13 10:30:13.089,2021-12-13 10:31:53.957,21.17373207234894,4.32723411238218,13,100.868
129,62,39_1,FS3,2021-12-13 10:32:02.062,2021-12-13 10:32:29.948,20.965589703416384,2.264522115083593,14,27.886
130,63,39_1,CS2,2021-12-13 10:32:54.049,2021-12-13 10:33:07.938,4.963090024725575,2.1151229885642064,15,13.889
131,64,39_1,AS1,2021-12-13 10:33:26.041,2021-12-13 10:33:49.928,3.1260253347257865,9.938117506491436,16,23.887
132,65,39_1,AS2,2021-12-13 10:33:52.035,2021-12-13 10:35:19.905,5.0612663365375,10.108105712324289,17,87.87
133,66,39_1,AN3,2021-12-13 10:35:25.011,2021-12-13 10:36:38.993,5.6207896649845,11.73906933601049,18,73.982
135,68,39_1,CN2,2021-12-13 10:37:09.057,2021-12-13 10:38:41.962,5.234070259323499,4.796122942098092,20,92.905
138,253,39_2,FN1,2021-12-13 11:19:43.047,2021-12-13 11:19:59.864,18.972702830320745,4.369753059824929,3,16.817
139,254,39_2,FN2,2021-12-13 11:20:02.042,2021-12-13 11:20:27.928,19.67419289700077,4.0404043893735055,4,25.886
140,255,39_2,FN3,2021-12-13 11:20:33.034,2021-12-13 11:21:57.906,21.3442594439496,4.187677589735944,5,84.872
141,256,39_2,FS3,2021-12-13 11:22:08.010,2021-12-13 11:22:27.898,21.488415578499776,2.1221154400522813,6,19.888
142,257,39_2,ES3,2021-12-13 11:22:36.003,2021-12-13 11:23:40.987,20.27784124259186,6.152788652370512,7,64.984
143,258,39_2,ES2,2021-12-13 11:23:43.058,2021-12-13 11:24:17.978,18.770951722995083,6.220859544976323,8,34.92
144,259,39_2,ES1,2021-12-13 11:24:20.049,2021-12-13 11:24:45.971,17.867820959549128,6.14426347704974,9,25.922
145,260,39_2,DN1,2021-12-13 11:24:57.040,2021-12-13 11:25:15.856,18.769216513419668,12.043563902219168,10,18.816
146,261,39_2,DN2,2021-12-13 11:25:22.033,2021-12-13 11:25:53.954,20.687156308240905,12.27583394190074,11,31.921
148,263,39_2,BS1,2021-12-13 11:26:41.014,2021-12-13 11:28:06.992,3.5270688604027094,5.89301929164745,13,85.978
149,264,39_2,BS2,2021-12-13 11:28:10.063,2021-12-13 11:28:24.988,4.525096489351257,6.63106100227278,14,14.925
151,266,39_2,BN2,2021-12-13 11:28:46.054,2021-12-13 11:30:50.951,4.362497352632336,8.070035232485399,16,124.897
152,267,39_2,BN3,2021-12-13 11:30:53.022,2021-12-13 11:32:09.931,5.534642264626846,8.553234857376221,17,76.909
153,268,39_2,AS1,2021-12-13 11:32:23.178,2021-12-13 11:32:44.994,2.3869087687808235,10.052775436424827,18,21.816
154,269,39_2,AN1,2021-12-13 11:32:53.099,2021-12-13 11:34:33.967,2.732296410328951,12.218621758208132,19,100.868
155,386,44_1,*,2021-12-13 10:23:35.696,2021-12-13 10:24:29.932,16.02725551579448,5.05487202864918,1,54.236
156,69,44_1,FS2,2021-12-13 10:24:37.002,2021-12-13 10:24:48.999,19.56435240202753,2.5899002026649662,2,11.997
158,71,44_1,FN2,2021-12-13 10:25:18.063,2021-12-13 10:25:30.988,19.084758521882065,4.494429020665052,4,12.925
159,72,44_1,ES2,2021-12-13 10:25:35.059,2021-12-13 10:27:51.953,19.016325040480293,6.3257365539964345,5,136.894
161,74,44_1,DN1,2021-12-13 10:28:22.017,2021-12-13 10:28:48.939,18.378967022727927,11.797445644377769,7,26.922
162,75,44_1,AN2,2021-12-13 10:29:07.006,2021-12-13 10:29:19.931,4.660197851705632,12.162719199739149,8,12.925
163,76,44_1,AS1,2021-12-13 10:29:33.106,2021-12-13 10:29:55.994,3.2502263073230986,10.242813298491786,9,22.888
164,77,44_1,BS1,2021-12-13 10:30:06.098,2021-12-13 10:30:36.983,2.68834239226082,6.399794733722714,10,30.885
165,78,44_1,BS2,2021-12-13 10:30:41.089,2021-12-13 10:31:32.969,3.512562459231786,6.576271710504596,11,51.88
166,79,44_1,CN2,2021-12-13 10:31:40.075,2021-12-13 10:32:11.960,5.423747048840965,4.299822840467472,12,31.885
167,80,44_1,CN1,2021-12-13 10:32:16.066,2021-12-13 10:32:52.878,3.0255434047102407,4.646477082718494,13,36.812
168,81,44_1,CS1,2021-12-13 10:33:01.054,2021-12-13 10:34:08.930,3.648672874277688,2.8020336807247306,14,67.876
169,82,44_1,CS3,2021-12-13 10:34:13.036,2021-12-13 10:34:49.920,6.003094461870152,2.9142369423122845,15,36.884
172,84,44_1,FS2,2021-12-13 10:35:36.016,2021-12-13 10:35:56.903,19.533665465864622,2.751285985445551,18,20.887
173,85,44_1,FS3,2021-12-13 10:35:59.010,2021-12-13 10:37:04.993,21.055701926199152,2.723418341908676,19,65.983
174,86,44_1,FN3,2021-12-13 10:37:16.062,2021-12-13 10:37:35.986,20.97782110791356,4.468162642002241,20,19.924
175,87,44_1,FN2,2021-12-13 10:37:45.055,2021-12-13 10:38:17.975,19.440103257516174,4.809035519938855,21,32.92
177,89,44_1,DS2,2021-12-13 10:38:48.039,2021-12-13 10:38:59.965,19.58240898641352,9.389624174897431,23,11.926
178,90,44_1,DS4,2021-12-13 10:39:07.034,2021-12-13 10:39:23.959,21.1248012175506,9.754407658556117,24,16.925
179,410,44_2,*,2021-12-13 11:19:13.311,2021-12-13 11:19:28.950,10.947282200629887,9.579806429044066,1,15.639
181,271,44_2,BN1,2021-12-13 11:20:00.050,2021-12-13 11:21:01.927,2.788433907195555,8.583840346422443,3,61.877
182,272,44_2,DN2,2021-12-13 11:21:26.028,2021-12-13 11:21:44.845,19.481862644714152,11.816682127148775,4,18.817
183,273,44_2,DN3,2021-12-13 11:21:48.023,2021-12-13 11:21:59.912,21.019035299770845,11.874842145640995,5,11.889
186,275,44_2,EN3,2021-12-13 11:22:21.014,2021-12-13 11:22:38.831,21.027024622554222,8.64845040467519,8,17.817
187,276,44_2,EN4,2021-12-13 11:22:39.010,2021-12-13 11:24:50.977,21.44781095486001,8.452011841205225,9,131.967
188,277,44_2,EN2,2021-12-13 11:24:53.048,2021-12-13 11:25:51.962,19.6137666436986,8.254164709765007,10,58.914
189,278,44_2,EN1,2021-12-13 11:25:54.032,2021-12-13 11:26:31.952,18.46323667364437,8.293201877638149,11,37.92
190,279,44_2,FS1,2021-12-13 11:26:47.019,2021-12-13 11:26:58.945,18.35931952396411,2.6019547452716645,12,11.926
191,280,44_2,BN2,2021-12-13 11:27:18.083,2021-12-13 11:28:19.996,4.227509106322203,8.00920414513864,13,61.913
192,281,44_2,CN1,2021-12-13 11:28:32.064,2021-12-13 11:30:03.970,3.095456727185605,4.577960664251092,14,91.906
193,282,44_2,CN2,2021-12-13 11:30:05.041,2021-12-13 11:33:32.989,4.19707704424908,4.7115873409498565,15,207.948
194,412,44_2,*,2021-12-13 11:33:41.094,2021-12-13 11:33:51.163,10.931195862139646,4.704773941169164,16,10.069
195,413,44_2,*,2021-12-13 11:33:53.091,2021-12-13 11:34:39.972,11.552088769875771,3.95834797432037,17,46.881
196,388,55_1,*,2021-12-13 10:23:36.203,2021-12-13 10:24:33.938,8.307496507016866,6.150451087959245,1,57.735
197,91,55_1,AN3,2021-12-13 10:24:46.007,2021-12-13 10:26:24.982,5.340530599544739,11.682308006319962,2,98.975
198,92,55_1,AN2,2021-12-13 10:26:30.052,2021-12-13 10:28:40.948,3.5332154615038447,12.372626145558629,3,130.896
